N,Density,Iteration,Queue_Type,Test_Type,Packets_Received,Average_Latency
5,0.6,1,FIFO,BURSTY,602,60.62956810631229
5,0.6,1,FIFO,CONTINUOUS,638,58.1551724137931
5,0.6,1,LIFO,BURSTY,634,55.14195583596214
5,0.6,1,LIFO,CONTINUOUS,625,56.48
