N,Density,Iteration,Queue_Type,Test_Type,Packets_Received,Average_Latency
6,0.3,3,FIFO,BURSTY,1231,34.781478472786354
6,0.3,3,FIFO,CONTINUOUS,1246,34.96227929373997
6,0.3,3,LIFO,BURSTY,1272,34.79716981132076
6,0.3,3,LIFO,CONTINUOUS,1260,36.35793650793651
