N,Density,Iteration,Queue_Type,Test_Type,Packets_Received,Average_Latency
7,0.9,8,FIFO,BURSTY,1563,35.36340371081254
7,0.9,8,FIFO,CONTINUOUS,1575,35.266666666666666
7,0.9,8,LIFO,BURSTY,1561,7.913516976297245
7,0.9,8,LIFO,CONTINUOUS,1573,7.883661792752702
