N,Density,Iteration,Queue_Type,Test_Type,Packets_Received,Average_Latency
9,0.6,9,FIFO,BURSTY,707,91.4016973125884
9,0.6,9,FIFO,CONTINUOUS,705,58.4
9,0.6,9,LIFO,BURSTY,717,14.163179916317992
9,0.6,9,LIFO,CONTINUOUS,705,14.395744680851063
