N,Density,Iteration,Queue_Type,Test_Type,Packets_Received,Average_Latency
7,0.6,16,FIFO,BURSTY,2258,22.440212577502216
7,0.6,16,FIFO,CONTINUOUS,2265,22.466225165562914
7,0.6,16,LIFO,BURSTY,2326,21.736457437661223
7,0.6,16,LIFO,CONTINUOUS,2314,21.95419187554019
