N,Density,Iteration,Queue_Type,Test_Type,Packets_Received,Average_Latency
10,0.9,3,FIFO,BURSTY,2969,82.21623442236444
10,0.9,3,FIFO,CONTINUOUS,3005,82.52811980033277
10,0.9,3,LIFO,BURSTY,2993,6.701303040427664
10,0.9,3,LIFO,CONTINUOUS,3032,6.296174142480211
